Starting Year,muni_cost,muni_end_amt,muni_capgain,net_int,equity_cost,equity_end_amt,equity_cap_gain,net_div
0.0,254250.0,256792.5,2542.5,7246.12,254250.0,266962.5,12712.5,5430.78
1.0,515746.12,523471.51,7725.390000000014,14654.61,513930.78,552975.44,39044.659999999916,11130.61
2.0,784650.73,800299.88,15649.150000000023,22404.43,779311.39,859273.85,79962.45999999996,17295.95
3.0,1061305.16,1087723.85,26418.690000000177,30450.88,1050857.34,1187360.79,136503.44999999995,23899.87
4.0,1346006.04,1386148.98,40142.939999999944,38805.31,1329007.21,1538786.19,209778.97999999998,30973.57
5.0,1639061.35,1695996.33,56934.97999999998,47479.5,1614230.78,1915210.25,300979.47,38550.44
6.0,1940790.85,2017703.09,76912.23999999999,56485.69,1907031.22,2318411.22,411380.00000000023,46666.31
7.0,2251526.54,2351723.17,100196.62999999989,65836.6,2207947.53,2750293.91,542346.3800000004,55359.49
8.0,2571613.14,2698527.87,126914.72999999998,75545.42,2517557.02,3212898.57,695341.5499999998,64671.06
9.0,2901408.56,3058606.52,157197.95999999996,85625.84,2836478.08,3708410.61,871932.5299999998,74645.01
