Starting Year,reserve,muni_cost,muni_end_amt,muni_capgain,net_int,equity_cost,equity_end_amt,equity_cap_gain,net_div
0.0,191900.0,380000.0,383800.0,3800.0,9690.0,380000.0,399000.0,19000.0,9690.0
1.0,193819.0,864690.0,877174.9,12484.900000000023,16752.92,864690.0,927874.5,63184.5,17046.13
2.0,195757.19,1356442.92,1382617.1,26174.180000000168,22650.23,1356736.13,1490916.66,134180.53000000003,23493.96
3.0,197714.76,1854093.15,1899070.0,44976.85000000009,27814.05,1855230.09,2088881.15,233651.05999999982,29428.56
4.0,199691.91,2356907.2,2425902.89,68995.68999999994,37428.29,2359658.65,2722975.2,363316.5500000003,40411.25
5.0,201688.83,2869335.49,2967714.49,98379.0,47314.88,2875069.9,3400305.77,525235.8700000001,52146.55
6.0,203705.72,3391650.37,3524929.66,133279.29000000004,57481.48,3402216.45,4123824.94,721608.4899999998,64685.93
7.0,205742.78,3924131.85,4097985.25,173853.3999999999,67936.01,3941902.38,4896686.41,954784.0300000003,78084.36
8.0,207800.21,4467067.86,4687330.47,220262.6099999994,78686.58,4494986.74,5722259.31,1227272.5699999994,92400.58
9.0,209878.21,5020754.44,5293427.22,272672.77999999933,69603.44,5062387.32,6604142.88,1541755.5599999996,83529.97
