Starting Year,muni_start,muni_cost,muni_end_amt,net_int,eq_start,equity_cost,equity_end_amt,net_div
10.0,3058606.52,2901408.56,3089192.59,85625.84,3708410.61,2836478.08,3194980.08,74645.01
11.0,3089192.59,2901408.56,3120084.52,86482.1,3194980.08,2836478.08,2710410.54,64310.39
12.0,3120084.52,2901408.56,3151285.37,87346.92,2710410.54,2581343.372,2240460.51,54556.69
13.0,3151285.37,2901408.56,3182798.22,88220.39,2240460.51,2133771.9184,1742697.24,45097.27
14.0,3182798.22,2901408.56,3214626.2,89102.59,1742697.24,1659711.65368,1215429.52,35078.01
15.0,3214626.2,2901408.56,3246772.46,89993.62,1215429.52,1157551.9247360001,656862.87,24464.86
16.0,3246772.46,2901408.56,3279240.18,90893.56,656862.87,625583.6829472,65093.18,13221.71
17.0,3279240.18,2901408.56,2695216.34,91802.49,65093.18,61993.50458944007,0.0,1310.24
18.0,2695216.34,2668531.032917888,2093329.22,75452.71,0.0,0.0,0.0,0.0
19.0,2093329.22,2072603.1905835774,1469608.66,58602.86,0.0,,0.0,0.0
20.0,1469608.66,1455058.0761167156,,41141.76,0.0,,,0.0
