Starting Year,equity_end_amt,muni_end_amt
1,266962.5,256792.5
2,552975.44,523471.51
3,859273.85,800299.88
4,1187360.79,1087723.85
5,1538786.19,1386148.98
6,1915210.25,1695996.33
7,2318411.22,2017703.09
8,2750293.91,2351723.17
9,3212898.57,2698527.87
10,3708410.61,3058606.52
11,3118631.3,3089192.59
12,2583584.9,3120084.52
13,2044802.36,3151285.37
14,1473998.5,3182798.22
15,869224.85,3214626.2
16,228413.96,3246772.46
17,0.0,2776015.47
18,0.0,2118307.15
19,0.0,1436740.45
20,0.0,730449.92
21,0.0,0.0
