Starting Year,eq_start,equity_cap_gain,equity_cost,equity_end_amt,muni_capgain,muni_cost,muni_end_amt,muni_start,net_div,net_int,total_assets
1,254250.0,12712.5,254250.0,266962.5,2542.5,254250.0,256792.5,254250.0,5430.78,7246.12,523755.0
2,266962.5,39044.659999999916,513930.78,552975.44,7725.390000000014,515746.12,523471.51,256792.5,11130.61,14654.61,1076446.95
3,552975.44,79962.45999999996,779311.39,859273.85,15649.150000000023,784650.73,800299.88,523471.51,17295.95,22404.43,1659573.73
4,859273.85,136503.44999999995,1050857.34,1187360.79,26418.690000000177,1061305.16,1087723.85,800299.88,23899.87,30450.88,2275084.64
5,1187360.79,209778.97999999998,1329007.21,1538786.19,40142.939999999944,1346006.04,1386148.98,1087723.85,30973.57,38805.31,2924935.17
6,1538786.19,300979.47,1614230.78,1915210.25,56934.97999999998,1639061.35,1695996.33,1386148.98,38550.44,47479.5,3611206.58
7,1915210.25,411380.00000000023,1907031.22,2318411.22,76912.23999999999,1940790.85,2017703.09,1695996.33,46666.31,56485.69,4336114.3100000005
8,2318411.22,542346.3800000004,2207947.53,2750293.91,100196.62999999989,2251526.54,2351723.17,2017703.09,55359.49,65836.6,5102017.08
9,2750293.91,695341.5499999998,2517557.02,3212898.57,126914.72999999998,2571613.14,2698527.87,2351723.17,64671.06,75545.42,5911426.4399999995
10,3212898.57,871932.5299999998,2836478.08,3708410.61,157197.95999999996,2901408.56,3058606.52,2698527.87,74645.01,85625.84,6767017.13
11,3708410.61,871932.5299999998,2836478.08,3118631.3,157197.95999999996,2901408.56,3089192.59,3058606.52,74645.01,85625.84,6207823.89
12,3118631.3,282153.21999999974,2836478.08,2583584.9,187784.0299999998,2901408.56,3120084.52,3089192.59,62773.59,86482.1,5703669.42
13,2583584.9,123027.85149999987,2460557.0485,2044802.36,218675.95999999996,2901408.56,3151285.37,3120084.52,52003.87,87346.92,5196087.73
14,2044802.36,97371.53780000005,1947430.8222,1473998.5,249876.81000000006,2901408.56,3182798.22,3151285.37,41158.95,88220.39,4656796.720000001
15,1473998.5,70190.40505999979,1403808.0949400002,869224.85,281389.66000000015,2901408.56,3214626.2,3182798.22,29669.48,89102.59,4083851.0500000003
16,869224.85,41391.65851199988,827833.1914880001,228413.96,313217.64000000013,2901408.56,3246772.46,3214626.2,17496.26,89993.62,3475186.42
17,228413.96,10876.859202399879,217537.1007976001,0.0,345363.8999999999,2901408.56,2776015.47,3246772.46,4597.64,90893.56,2776015.47
18,0.0,0.0,0.0,0.0,27485.299340480007,2748530.17065952,2118307.15,2776015.47,0.0,77714.7,2118307.15
19,0.0,0.0,0.0,0.0,20973.33736809576,2097333.812631904,1436740.45,2118307.15,0.0,59302.11,1436740.45
20,0.0,0.0,0.0,0.0,14225.154973618919,1422515.295026381,730449.92,1436740.45,0.0,40221.62,730449.92
21,0.0,0.0,0.0,0.0,0.0,723217.7415052763,0.0,730449.92,0.0,20448.98,0.0
