Starting Year,dists,nondivint_dists,capgains_paid,after_tax_income
10.0,1251562.251,1098428.841,274607.21025,976955.0407499999
11.0,1251562.251,1072535.771,86054.96999999991,1165507.281
12.0,1251562.251,1087982.831,43340.714200000075,1208221.5368
13.0,1251562.251,1103741.991,34194.51503999997,1217367.73596
14.0,1251562.251,1120449.261,24524.875207999998,1227037.375792
15.0,1251562.251,1138160.211,14301.377241599977,1237260.8737583999
16.0,1251562.251,1156933.6509999998,123156.87164831997,1128405.37935168
17.0,1251562.251,1179021.701,9411.262529663923,1242150.988470336
18.0,1251562.251,1199908.8909999998,7128.508705932738,1244433.7422940673
19.0,1251562.251,1203347.9109999998,4785.719941186533,1246776.5310588134
20.0,1251562.251,1220741.561,4785.719941186533,1246776.5310588134
