Starting Year,eq_start,equity_cap_gain,equity_cost,equity_end_amt,muni_capgain,muni_cost,muni_end_amt,muni_start,net_div,net_int,reserve,total_assets
1,380000.0,19000.0,380000.0,399000.0,3800.0,380000.0,383800.0,380000.0,9690.0,9690.0,191900.0,782800.0
2,399000.0,63184.5,864690.0,927874.5,12484.900000000023,864690.0,877174.9,383800.0,17046.13,16752.92,193819.0,1805049.4
3,927874.5,134180.53000000003,1356736.13,1490916.66,26174.180000000168,1356442.92,1382617.1,877174.9,23493.96,22650.23,195757.19,2873533.76
4,1490916.66,233651.05999999982,1855230.09,2088881.15,44976.85000000009,1854093.15,1899070.0,1382617.1,29428.56,27814.05,197714.76,3987951.15
5,2088881.15,363316.5500000003,2359658.65,2722975.2,68995.68999999994,2356907.2,2425902.89,1899070.0,40411.25,37428.29,199691.91,5148878.09
6,2722975.2,525235.8700000001,2875069.9,3400305.77,98379.0,2869335.49,2967714.49,2425902.89,52146.55,47314.88,201688.83,6368020.26
7,3400305.77,721608.4899999998,3402216.45,4123824.94,133279.29000000004,3391650.37,3524929.66,2967714.49,64685.93,57481.48,203705.72,7648754.6
8,4123824.94,954784.0300000003,3941902.38,4896686.41,173853.3999999999,3924131.85,4097985.25,3524929.66,78084.36,67936.01,205742.78,8994671.66
9,4896686.41,1227272.5699999994,4494986.74,5722259.31,220262.6099999994,4467067.86,4687330.47,4097985.25,92400.58,78686.58,207800.21,10409589.78
10,5722259.31,1541755.5599999996,5062387.32,6604142.88,272672.77999999933,5020754.44,5293427.22,4687330.47,83529.97,69603.44,209878.21,11897570.1
11,6604142.88,1541755.5599999996,5062387.32,5492662.17,272672.77999999933,5020754.44,5346361.49,5293427.22,83529.97,69603.44,0.0,10839023.66
12,5492662.17,430274.8499999996,5062387.32,4550775.0,325607.0499999998,5020754.44,5399825.1,5346361.49,88983.19,90043.29,0.0,9950600.1
13,4550775.0,216703.57100000046,4334071.429,3590424.03,379070.6599999992,5020754.44,5453823.35,5399825.1,73236.9,90342.52,0.0,9044247.379999999
14,3590424.03,170972.57519999985,3419451.4548,2575111.9,433068.9099999992,5020754.44,5508361.58,5453823.35,57313.57,90506.69,0.0,8083473.48
15,2575111.9,122624.37604,2452487.52396,1501644.65,487607.13999999966,5020754.44,5563445.2,5508361.58,40670.42,90442.57,0.0,7065089.85
16,1501644.65,71506.8862079999,1430137.763792,366642.21,542690.7599999998,5020754.44,5619079.65,5563445.2,23374.01,90028.03,0.0,5985721.86
17,366642.21,17459.14824160008,349183.06175839994,0.0,598325.21,5020754.44,4752687.65,5619079.65,5588.5,89040.1,0.0,4752687.65
18,0.0,0.0,0.0,0.0,47056.31264831964,4705631.337351681,3599897.23,4752687.65,0.0,72540.55,0.0,3599897.23
19,0.0,0.0,0.0,0.0,35642.5435296637,3564254.6864703363,2416788.43,3599897.23,0.0,51653.36,0.0,2416788.43
20,0.0,0.0,0.0,0.0,23928.599705932662,2392859.8302940675,1220741.35,2416788.43,0.0,48214.34,0.0,1220741.35
21,0.0,0.0,0.0,0.0,0.0,1208654.7990588138,0.0,1220741.35,0.0,30820.69,0.0,0.0
