Starting Year,income_scen1,income_scen2,difference_income
11,603242.1856249999,976955.0407499999,373712.855125
12,694468.6534999999,1165507.281,471038.62750000006
13,726293.7271999998,1208221.5368,481927.80960000004
14,731424.9899399999,1217367.73596,485942.7460200001
15,736861.2164879999,1227037.375792,490176.1593040001
16,742620.9657975999,1237260.8737583999,494639.9079608
17,679651.1456595199,1128405.37935168,448754.23369216
18,745402.2376319038,1242150.988470336,496748.7508384321
19,746704.6300263808,1244433.7422940673,497729.1122676865
20,748054.2665052761,1246776.5310588134,498722.26455353736
21,748054.2665052761,1246776.5310588134,498722.26455353736
